1,Adrian Evans,2013,36554,145760
2,Abrãao Pierce,2007,34880,190327
3,Isaak Villa,2010,32951,163419
4,Ilesh Merritt,2017,43022,148958
5,Immanuel Schroeder,1994,24619,26140
6,Greyson Day,1996,24593,95200
7,Abilena Roman,1999,22059,118792
8,Andressa Beasley,1998,20411,14598
9,Líris Calhoun,2011,46759,129094
10,Ellana Oconnor,2007,37578,17942
11,Aleks Gregory,2017,32952,129815
12,Rayyan Price,2019,29472,195056
13,Issagha Garrett,2019,31749,113356
14,Manzambi Nicholson,2019,42360,83083
15,Ariel Compton,1995,32040,139602
16,Emah Montoya,2015,48167,5164
17,Éliva Riley,2007,39792,142375
18,Kenya Patrick,2007,38179,5373
19,Deny Hammond,2023,10856,51862
20,Tafseer Wall,2020,18168,65667
21,Carmichael Bautista,2005,33957,96715
22,Yazmin Malone,1995,32177,163018
23,Aniket Herring,2013,13933,190002
24,Anabel Haynes,2007,27953,190379
25,Édi Marin,2010,37540,22817
26,Ondjaki Barr,2007,38132,120855
27,Yannira Bass,2015,43444,60979
28,Rainhasha Hawkins,1991,12863,170873
29,Lily Benton,1992,27059,77585
30,Azazias Hester,2014,43297,42588
31,Jeiza Bonilla,1997,38986,145451
32,Arsénio Ellis,2001,30964,3373
33,Omara Waller,1991,27717,150789
34,Amal Henson,1991,42480,169783
35,Raphaël Duke,2003,33603,195722
36,Sidnei Alfaro,2013,43686,102408
37,Valério Abbott,2019,15574,144985
38,Aminata Ochoa,2005,28853,2560
39,Tian Hull,2015,16606,195352
40,Danielson Roberson,2021,35138,138382
41,Nice Brooks,2022,15901,105911
42,Gabi Gilmore,2002,43948,80314
43,Ivone Walsh,2002,12336,89779
44,Liyo Joseph,2008,45926,32102
45,Artur Carroll,2021,30080,189858
46,Ária Rosales,1993,26769,171856
47,Miruna Beck,2021,28033,177189
48,Jorawar Bruce,2010,15603,44061
49,Tufayl Pennington,2023,33029,104944
50,Cleonice Solis,2016,24461,82583
51,Osvaldina David,2001,47814,96258
52,Adriel Fischer,2001,45211,11572
53,Keylani Le,2006,32365,72077
54,Maryjane Logan,2003,39524,55833
55,Otília Ferguson,1994,31739,199213
56,Nasya Walsh,2014,47722,90456
57,Mirina Dudley,1995,41623,190672
58,Consoldi Rhodes,1998,23839,172154
59,Mehakpreet Velez,2021,30017,93699
60,Marcos Meza,2019,17121,31635
61,Daniana Bailey,1990,23989,74302
62,Idris Morrow,1993,29477,88609
63,Elany Rivas,1996,18447,162289
64,Elísio Watkins,2013,30337,91802
65,Valenthina Day,2015,12518,77057
66,Delfim Carroll,1992,15672,66430
67,Yzis Haley,2011,36783,26747
68,Allan Nash,1991,49525,92157
69,Samirjon Manning,2007,37086,122897
70,Isamara Faulkner,2010,28308,152177
71,Skhushana Vang,1994,30083,7184
72,Sylvia Hamilton,2002,43197,107432
73,Reyaan Cuevas,2013,46244,18516
74,Cármen Stafford,2023,10800,136348
75,Biren Welch,1999,11869,26172
76,Nilda Ali,1994,27917,87990
77,Lanie Clay,2015,45088,27200
78,Rute Cochran,2017,37171,16679
79,Muriel Phelps,2002,38536,31908
80,Duanny Boyd,1995,30145,82312
81,Mykola Glover,2009,36653,138383
82,Mirina Lucero,2008,23212,35425
83,Adryan Guevara,2011,27829,194821
84,Mounir Reed,2008,47584,147972
85,Zion Mcmahon,1996,26913,63663
86,Boni Moreno,2018,19387,73017
87,Chandra Sanders,1999,35088,145895
88,Aleksandr Ponce,2001,13047,155818
89,Raylander Weeks,2008,38438,190081
90,Maya Harding,2023,36525,135197
91,Aarush Pineda,1991,16455,89892
92,Rony Kennedy,2023,18642,59079
93,Thaylla Munoz,2001,48420,115395
94,Iker Hall,2023,15074,105265
95,Aldair Walsh,2015,12720,67570
96,Kelvin Griffith,1996,11195,16985
97,Cloé Rangel,2013,28432,113088
98,Ezmae-Rose Saunders,2002,12493,195422
99,Chelsea Durham,2003,39941,64126
100,Mathys Acevedo,1993,14958,58698
